U-Turn Detection Debug Log
==================================================
Checking 0 -> 10: Travel = 0.31m, Straight = 0.29m
Checking 0 -> 11: Travel = 0.32m, Straight = 0.29m
Checking 0 -> 12: Travel = 0.33m, Straight = 0.30m
Checking 0 -> 13: Travel = 0.35m, Straight = 0.31m
Checking 0 -> 14: Travel = 0.38m, Straight = 0.33m
Checking 0 -> 15: Travel = 0.38m, Straight = 0.34m
Checking 0 -> 16: Travel = 0.46m, Straight = 0.38m
Checking 0 -> 17: Travel = 0.48m, Straight = 0.40m
Checking 0 -> 18: Travel = 0.50m, Straight = 0.41m
Checking 0 -> 19: Travel = 0.56m, Straight = 0.44m
Checking 0 -> 20: Travel = 0.58m, Straight = 0.44m
Checking 0 -> 21: Travel = 0.59m, Straight = 0.44m
Checking 0 -> 22: Travel = 0.64m, Straight = 0.44m
Checking 0 -> 23: Travel = 0.65m, Straight = 0.44m
Checking 0 -> 24: Travel = 0.65m, Straight = 0.44m
Checking 0 -> 25: Travel = 0.66m, Straight = 0.45m
Checking 0 -> 26: Travel = 0.67m, Straight = 0.45m
Checking 0 -> 27: Travel = 0.69m, Straight = 0.44m
Checking 0 -> 28: Travel = 0.71m, Straight = 0.44m
Checking 0 -> 29: Travel = 0.73m, Straight = 0.44m
Checking 0 -> 30: Travel = 0.75m, Straight = 0.44m
Checking 0 -> 31: Travel = 0.79m, Straight = 0.45m
Checking 0 -> 32: Travel = 0.82m, Straight = 0.45m
Checking 0 -> 33: Travel = 0.88m, Straight = 0.46m
Checking 0 -> 34: Travel = 0.92m, Straight = 0.47m
Checking 0 -> 35: Travel = 0.93m, Straight = 0.48m
Checking 0 -> 36: Travel = 0.94m, Straight = 0.48m
Checking 0 -> 37: Travel = 0.96m, Straight = 0.49m
Checking 0 -> 38: Travel = 1.06m, Straight = 0.53m
Checking 0 -> 39: Travel = 1.12m, Straight = 0.58m
Checking 0 -> 40: Travel = 1.14m, Straight = 0.60m
Checking 0 -> 41: Travel = 1.22m, Straight = 0.66m
Checking 0 -> 42: Travel = 1.29m, Straight = 0.72m
Checking 0 -> 43: Travel = 1.37m, Straight = 0.78m
Checking 0 -> 44: Travel = 1.47m, Straight = 0.85m
Checking 0 -> 45: Travel = 1.48m, Straight = 0.87m
Checking 0 -> 46: Travel = 1.50m, Straight = 0.88m
Checking 0 -> 47: Travel = 1.57m, Straight = 0.82m
Checking 0 -> 48: Travel = 1.62m, Straight = 0.79m
Checking 0 -> 49: Travel = 1.66m, Straight = 0.76m
Checking 0 -> 50: Travel = 1.68m, Straight = 0.75m
Checking 0 -> 51: Travel = 1.69m, Straight = 0.73m
Checking 0 -> 52: Travel = 1.75m, Straight = 0.68m
Checking 0 -> 53: Travel = 1.80m, Straight = 0.64m
Checking 0 -> 54: Travel = 1.83m, Straight = 0.62m
Checking 0 -> 55: Travel = 1.86m, Straight = 0.60m
Checking 0 -> 56: Travel = 1.89m, Straight = 0.57m
Checking 0 -> 57: Travel = 1.93m, Straight = 0.55m
Checking 0 -> 58: Travel = 1.98m, Straight = 0.52m
Checking 0 -> 59: Travel = 2.05m, Straight = 0.49m
Checking 0 -> 60: Travel = 2.07m, Straight = 0.48m
Checking 0 -> 61: Travel = 2.11m, Straight = 0.53m
Checking 0 -> 62: Travel = 2.21m, Straight = 0.62m
Checking 0 -> 63: Travel = 2.21m, Straight = 0.62m
Checking 0 -> 64: Travel = 2.22m, Straight = 0.62m
Checking 0 -> 65: Travel = 2.22m, Straight = 0.62m
Checking 0 -> 66: Travel = 2.26m, Straight = 0.62m
Checking 0 -> 67: Travel = 2.32m, Straight = 0.57m
Checking 1 -> 11: Travel = 0.28m, Straight = 0.25m
Checking 1 -> 12: Travel = 0.28m, Straight = 0.26m
Checking 1 -> 13: Travel = 0.31m, Straight = 0.27m
Checking 1 -> 14: Travel = 0.34m, Straight = 0.29m
Checking 1 -> 15: Travel = 0.34m, Straight = 0.30m
Checking 1 -> 16: Travel = 0.42m, Straight = 0.35m
Checking 1 -> 17: Travel = 0.44m, Straight = 0.36m
Checking 1 -> 18: Travel = 0.45m, Straight = 0.38m
Checking 1 -> 19: Travel = 0.52m, Straight = 0.41m
Checking 1 -> 20: Travel = 0.54m, Straight = 0.41m
Checking 1 -> 21: Travel = 0.55m, Straight = 0.41m
