U-Turn Detection Debug Log
==================================================
Checking 0 -> 10: Travel = 0.29m, Straight = 0.28m
Checking 0 -> 11: Travel = 0.30m, Straight = 0.28m
Checking 0 -> 12: Travel = 0.34m, Straight = 0.29m
Checking 0 -> 13: Travel = 0.43m, Straight = 0.35m
Checking 0 -> 14: Travel = 0.46m, Straight = 0.37m
Checking 0 -> 15: Travel = 0.47m, Straight = 0.38m
Checking 0 -> 16: Travel = 0.48m, Straight = 0.39m
Checking 0 -> 17: Travel = 0.52m, Straight = 0.43m
Checking 0 -> 18: Travel = 0.54m, Straight = 0.45m
Checking 0 -> 19: Travel = 0.55m, Straight = 0.46m
Checking 0 -> 20: Travel = 0.56m, Straight = 0.46m
Checking 0 -> 21: Travel = 0.56m, Straight = 0.46m
Checking 0 -> 22: Travel = 0.57m, Straight = 0.46m
Checking 0 -> 23: Travel = 0.57m, Straight = 0.47m
Checking 0 -> 24: Travel = 0.58m, Straight = 0.47m
Checking 0 -> 25: Travel = 0.58m, Straight = 0.48m
Checking 0 -> 26: Travel = 0.59m, Straight = 0.49m
Checking 0 -> 27: Travel = 0.66m, Straight = 0.55m
Checking 0 -> 28: Travel = 0.66m, Straight = 0.56m
Checking 0 -> 29: Travel = 0.69m, Straight = 0.58m
Checking 0 -> 30: Travel = 0.75m, Straight = 0.64m
Checking 0 -> 31: Travel = 0.75m, Straight = 0.64m
Checking 0 -> 32: Travel = 0.81m, Straight = 0.70m
Checking 0 -> 33: Travel = 0.82m, Straight = 0.71m
Checking 0 -> 34: Travel = 0.85m, Straight = 0.74m
Checking 0 -> 35: Travel = 0.87m, Straight = 0.76m
Checking 0 -> 36: Travel = 0.91m, Straight = 0.79m
Checking 0 -> 37: Travel = 0.96m, Straight = 0.85m
Checking 0 -> 38: Travel = 0.96m, Straight = 0.85m
Checking 0 -> 39: Travel = 0.97m, Straight = 0.86m
Checking 0 -> 40: Travel = 1.08m, Straight = 0.96m
Checking 0 -> 41: Travel = 1.08m, Straight = 0.97m
Checking 0 -> 42: Travel = 1.10m, Straight = 0.98m
Checking 0 -> 43: Travel = 1.10m, Straight = 0.99m
Checking 0 -> 44: Travel = 1.15m, Straight = 1.04m
Checking 0 -> 45: Travel = 1.26m, Straight = 1.14m
Checking 0 -> 46: Travel = 1.28m, Straight = 1.16m
Checking 0 -> 47: Travel = 1.29m, Straight = 1.17m
Checking 0 -> 48: Travel = 1.47m, Straight = 1.35m
Checking 0 -> 49: Travel = 1.53m, Straight = 1.40m
Checking 0 -> 50: Travel = 1.54m, Straight = 1.41m
Checking 0 -> 51: Travel = 1.58m, Straight = 1.45m
Checking 0 -> 52: Travel = 1.64m, Straight = 1.51m
Checking 0 -> 53: Travel = 1.77m, Straight = 1.63m
Checking 0 -> 54: Travel = 1.89m, Straight = 1.73m
Checking 1 -> 11: Travel = 0.23m, Straight = 0.22m
Checking 1 -> 12: Travel = 0.27m, Straight = 0.23m
Checking 1 -> 13: Travel = 0.36m, Straight = 0.30m
Checking 1 -> 14: Travel = 0.39m, Straight = 0.32m
Checking 1 -> 15: Travel = 0.40m, Straight = 0.33m
Checking 1 -> 16: Travel = 0.41m, Straight = 0.34m
Checking 1 -> 17: Travel = 0.45m, Straight = 0.37m
Checking 1 -> 18: Travel = 0.47m, Straight = 0.40m
Checking 1 -> 19: Travel = 0.48m, Straight = 0.40m
Checking 1 -> 20: Travel = 0.49m, Straight = 0.41m
Checking 1 -> 21: Travel = 0.49m, Straight = 0.41m
Checking 1 -> 22: Travel = 0.50m, Straight = 0.41m
Checking 1 -> 23: Travel = 0.50m, Straight = 0.42m
Checking 1 -> 24: Travel = 0.51m, Straight = 0.42m
Checking 1 -> 25: Travel = 0.52m, Straight = 0.43m
Checking 1 -> 26: Travel = 0.52m, Straight = 0.44m
Checking 1 -> 27: Travel = 0.59m, Straight = 0.50m
Checking 1 -> 28: Travel = 0.59m, Straight = 0.50m
Checking 1 -> 29: Travel = 0.62m, Straight = 0.53m
Checking 1 -> 30: Travel = 0.68m, Straight = 0.58m
Checking 1 -> 31: Travel = 0.68m, Straight = 0.59m
Checking 1 -> 32: Travel = 0.74m, Straight = 0.64m
Checking 1 -> 33: Travel = 0.75m, Straight = 0.66m
Checking 1 -> 34: Travel = 0.78m, Straight = 0.68m
Checking 1 -> 35: Travel = 0.80m, Straight = 0.70m
Checking 1 -> 36: Travel = 0.84m, Straight = 0.73m
Checking 1 -> 37: Travel = 0.89m, Straight = 0.79m
Checking 1 -> 38: Travel = 0.89m, Straight = 0.79m
Checking 1 -> 39: Travel = 0.90m, Straight = 0.80m
Checking 1 -> 40: Travel = 1.01m, Straight = 0.91m
Checking 1 -> 41: Travel = 1.02m, Straight = 0.91m
Checking 1 -> 42: Travel = 1.03m, Straight = 0.92m
Checking 1 -> 43: Travel = 1.03m, Straight = 0.93m
Checking 1 -> 44: Travel = 1.08m, Straight = 0.98m
Checking 1 -> 45: Travel = 1.19m, Straight = 1.08m
Checking 1 -> 46: Travel = 1.21m, Straight = 1.10m
Checking 1 -> 47: Travel = 1.22m, Straight = 1.11m
Checking 1 -> 48: Travel = 1.40m, Straight = 1.29m
Checking 1 -> 49: Travel = 1.46m, Straight = 1.34m
Checking 1 -> 50: Travel = 1.47m, Straight = 1.35m
Checking 1 -> 51: Travel = 1.51m, Straight = 1.39m
Checking 1 -> 52: Travel = 1.57m, Straight = 1.45m
Checking 1 -> 53: Travel = 1.70m, Straight = 1.57m
Checking 1 -> 54: Travel = 1.83m, Straight = 1.67m
Checking 2 -> 12: Travel = 0.25m, Straight = 0.22m
Checking 2 -> 13: Travel = 0.35m, Straight = 0.29m
Checking 2 -> 14: Travel = 0.37m, Straight = 0.30m
Checking 2 -> 15: Travel = 0.38m, Straight = 0.32m
Checking 2 -> 16: Travel = 0.40m, Straight = 0.33m
Checking 2 -> 17: Travel = 0.43m, Straight = 0.36m
Checking 2 -> 18: Travel = 0.46m, Straight = 0.38m
Checking 2 -> 19: Travel = 0.46m, Straight = 0.39m
Checking 2 -> 20: Travel = 0.47m, Straight = 0.40m
Checking 2 -> 21: Travel = 0.48m, Straight = 0.40m
Checking 2 -> 22: Travel = 0.48m, Straight = 0.40m
Checking 2 -> 23: Travel = 0.49m, Straight = 0.41m
Checking 2 -> 24: Travel = 0.49m, Straight = 0.41m
Checking 2 -> 25: Travel = 0.50m, Straight = 0.42m
Checking 2 -> 26: Travel = 0.51m, Straight = 0.43m
Checking 2 -> 27: Travel = 0.57m, Straight = 0.48m
Checking 2 -> 28: Travel = 0.58m, Straight = 0.49m
Checking 2 -> 29: Travel = 0.60m, Straight = 0.52m
Checking 2 -> 30: Travel = 0.66m, Straight = 0.57m
Checking 2 -> 31: Travel = 0.67m, Straight = 0.58m
Checking 2 -> 32: Travel = 0.73m, Straight = 0.63m
Checking 2 -> 33: Travel = 0.74m, Straight = 0.64m
Checking 2 -> 34: Travel = 0.77m, Straight = 0.67m
Checking 2 -> 35: Travel = 0.79m, Straight = 0.69m
Checking 2 -> 36: Travel = 0.82m, Straight = 0.72m
Checking 2 -> 37: Travel = 0.87m, Straight = 0.78m
Checking 2 -> 38: Travel = 0.88m, Straight = 0.78m
Checking 2 -> 39: Travel = 0.89m, Straight = 0.79m
Checking 2 -> 40: Travel = 1.00m, Straight = 0.89m
Checking 2 -> 41: Travel = 1.00m, Straight = 0.90m
Checking 2 -> 42: Travel = 1.01m, Straight = 0.91m
Checking 2 -> 43: Travel = 1.02m, Straight = 0.92m
Checking 2 -> 44: Travel = 1.07m, Straight = 0.96m
Checking 2 -> 45: Travel = 1.17m, Straight = 1.06m
Checking 2 -> 46: Travel = 1.20m, Straight = 1.09m
Checking 2 -> 47: Travel = 1.20m, Straight = 1.09m
Checking 2 -> 48: Travel = 1.38m, Straight = 1.27m
Checking 2 -> 49: Travel = 1.44m, Straight = 1.33m
Checking 2 -> 50: Travel = 1.45m, Straight = 1.34m
Checking 2 -> 51: Travel = 1.49m, Straight = 1.38m
Checking 2 -> 52: Travel = 1.56m, Straight = 1.44m
Checking 2 -> 53: Travel = 1.69m, Straight = 1.55m
Checking 2 -> 54: Travel = 1.81m, Straight = 1.66m
Checking 3 -> 13: Travel = 0.32m, Straight = 0.27m
Checking 3 -> 14: Travel = 0.34m, Straight = 0.29m
Checking 3 -> 15: Travel = 0.36m, Straight = 0.30m
Checking 3 -> 16: Travel = 0.37m, Straight = 0.31m
Checking 3 -> 17: Travel = 0.40m, Straight = 0.34m
Checking 3 -> 18: Travel = 0.43m, Straight = 0.36m
Checking 3 -> 19: Travel = 0.44m, Straight = 0.37m
Checking 3 -> 20: Travel = 0.44m, Straight = 0.38m
Checking 3 -> 21: Travel = 0.45m, Straight = 0.38m
Checking 3 -> 22: Travel = 0.45m, Straight = 0.38m
Checking 3 -> 23: Travel = 0.46m, Straight = 0.39m
Checking 3 -> 24: Travel = 0.47m, Straight = 0.39m
Checking 3 -> 25: Travel = 0.47m, Straight = 0.40m
Checking 3 -> 26: Travel = 0.48m, Straight = 0.41m
Checking 3 -> 27: Travel = 0.54m, Straight = 0.46m
Checking 3 -> 28: Travel = 0.55m, Straight = 0.47m
Checking 3 -> 29: Travel = 0.58m, Straight = 0.49m
Checking 3 -> 30: Travel = 0.63m, Straight = 0.55m
Checking 3 -> 31: Travel = 0.64m, Straight = 0.56m
Checking 3 -> 32: Travel = 0.70m, Straight = 0.61m
Checking 3 -> 33: Travel = 0.71m, Straight = 0.62m
Checking 3 -> 34: Travel = 0.74m, Straight = 0.65m
Checking 3 -> 35: Travel = 0.76m, Straight = 0.66m
Checking 3 -> 36: Travel = 0.79m, Straight = 0.70m
Checking 3 -> 37: Travel = 0.85m, Straight = 0.75m
Checking 3 -> 38: Travel = 0.85m, Straight = 0.76m
Checking 3 -> 39: Travel = 0.86m, Straight = 0.77m
Checking 3 -> 40: Travel = 0.97m, Straight = 0.87m
Checking 3 -> 41: Travel = 0.97m, Straight = 0.87m
Checking 3 -> 42: Travel = 0.98m, Straight = 0.88m
Checking 3 -> 43: Travel = 0.99m, Straight = 0.89m
Checking 3 -> 44: Travel = 1.04m, Straight = 0.94m
Checking 3 -> 45: Travel = 1.14m, Straight = 1.04m
Checking 3 -> 46: Travel = 1.17m, Straight = 1.06m
Checking 3 -> 47: Travel = 1.17m, Straight = 1.07m
Checking 3 -> 48: Travel = 1.36m, Straight = 1.25m
Checking 3 -> 49: Travel = 1.41m, Straight = 1.30m
Checking 3 -> 50: Travel = 1.42m, Straight = 1.31m
Checking 3 -> 51: Travel = 1.46m, Straight = 1.35m
Checking 3 -> 52: Travel = 1.53m, Straight = 1.41m
Checking 3 -> 53: Travel = 1.66m, Straight = 1.53m
Checking 3 -> 54: Travel = 1.78m, Straight = 1.63m
Checking 4 -> 14: Travel = 0.34m, Straight = 0.28m
Checking 4 -> 15: Travel = 0.35m, Straight = 0.29m
Checking 4 -> 16: Travel = 0.36m, Straight = 0.31m
Checking 4 -> 17: Travel = 0.40m, Straight = 0.34m
Checking 4 -> 18: Travel = 0.42m, Straight = 0.36m
Checking 4 -> 19: Travel = 0.43m, Straight = 0.37m
Checking 4 -> 20: Travel = 0.44m, Straight = 0.37m
Checking 4 -> 21: Travel = 0.44m, Straight = 0.37m
